raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
bis_family,NA,A person's family is the most important thing in life.,raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
bis_negative_event_fear,NA,"Even if something bad is about to happen to me, I rarely experience fear or nervousness.",raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
bis_ambitious,NA,I go out of my way to get things I want.,raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
bis_love_doing,NA,When I'm doing well at something I love to keep at it.,raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
bis_explore,NA,I'm always willing to try something new if I think it will be fun.,raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
bis_clothes,NA,How I dress is important to me.,raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
bis_excitement,NA,"When I get something I want, I feel excited and energized.",raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
bis_criticism,NA,Criticism or scolding hurts me quite a bit.,raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
bis_all_out,NA,When I want something I usually go all-out to get it.,raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
bis_fun,NA,I will often do things for no other reason than they might be fun.,raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
bis_no_time,NA,It's hard for me to find the time to do things such as get a haircut.,raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
bis_act_now,NA,If I see a chance to get something I want I move on it right away.,raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
bis_angry,NA,I feel pretty worried or upset when I think or know somebody is angry at me.,raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
bis_opportunity_excite,NA,When I see an opportunity for something I like I get excited right away.,raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
bis_spontaneous,NA,I often act on the spur of the moment.,raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
bis_worked_up,NA,"If I think something unpleasant is going to happen I usually get pretty ""worked up"".",raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
bis_wonder_others,NA,I often wonder why people act the way they do.,raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
bis_positive_effect,NA,"When good things happen to me, it affects me strongly.",raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
bis_worry_poor_perform,NA,I feel worried when I think I have done poorly at something important.,raw,0,"very true for me=1, Somewhat true for me=2, Somewhat false for me=3, Very false for me=4",NA,NA,NA,NA,NA
