raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
ders_1_rs,NA,I am clear about my feelings.,raw,0,"4 = Almost never, 3 = Sometimes, 2 = About half the time, 1 = Most of the time, 0 = Always",NA,NA,NA,NA,NA
ders_2_rs,NA,I pay attention to how I feel.,raw,0,"4 = Almost never, 3 = Sometimes, 2 = About half the time, 1 = Most of the time, 0 = Always",NA,NA,NA,NA,NA
ders3,NA,I experience my emotions as overwhelming and out of control.,raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders4,NA,I have no idea how I am feeling.,raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders_6_rs,NA,I am attentive to my feelings.,raw,0,"4 = Almost never, 3 = Sometimes, 2 = About half the time, 1 = Most of the time, 0 = Always",NA,NA,NA,NA,NA
ders5,NA,I have difficulty making sense out of my feelings.,raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders_7_rs,NA,I know exactly how I am feeling.,raw,0,"4 = Almost never, 3 = Sometimes, 2 = About half the time, 1 = Most of the time, 0 = Always",NA,NA,NA,NA,NA
ders_8_rs,NA,I care about what I am feeling.,raw,0,"4 = Almost never, 3 = Sometimes, 2 = About half the time, 1 = Most of the time, 0 = Always",NA,NA,NA,NA,NA
ders9,NA,I am confused about how I feel.,raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders_10_rs,NA,"When I'm upset, I acknowledge my emotions.",raw,0,"4 = Almost never, 3 = Sometimes, 2 = About half the time, 1 = Most of the time, 0 = Always",NA,NA,NA,NA,NA
ders11,NA,"When I'm upset, I become angry with myself for feeling that way.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders12,NA,"When I'm upset, I become embarrassed for feeling that way.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders13,NA,"When I'm upset, I have difficulty getting work done.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders14,NA,"When I'm upset, I become out of control.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders15,NA,"When I'm upset, I believe that I will remain that way for a long time.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders16,NA,"When I'm upset, I believe that I'll end up feeling very depressed.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders_17_rs,NA,"When I'm upset, I believe that my feelings are valid and important.",raw,0,"4 = Almost never, 3 = Sometimes, 2 = About half the time, 1 = Most of the time, 0 = Always",NA,NA,NA,NA,NA
ders18,NA,"When I am very upset, I have difficulty focusing on other things.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders19,NA,"When I'm upset, I feel out of control.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders_20_rs,NA,"When I'm upset, I can still get things done.",raw,0,"4 = Almost never, 3 = Sometimes, 2 = About half the time, 1 = Most of the time, 0 = Always",NA,NA,NA,NA,NA
ders21,NA,"When I'm upset, I feel ashamed with myself for feeling that way.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders_22_rs,NA,"When I'm upset, I know that I can find a way to eventually feel better.",raw,0,"4 = Almost never, 3 = Sometimes, 2 = About half the time, 1 = Most of the time, 0 = Always",NA,NA,NA,NA,NA
ders23,NA,"When I'm upset, I feel like I am weak.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders_24_rs,NA,"When I'm upset, I feel like I can remain in control of my behaviors.",raw,0,"4 = Almost never, 3 = Sometimes, 2 = About half the time, 1 = Most of the time, 0 = Always",NA,NA,NA,NA,NA
ders25,NA,"When I'm upset, I feel guilty for feeling that way.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders26,NA,"When I'm upset, I have difficulty concentrating.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders27,NA,"When I'm upset, I have difficulty controlling my behaviors.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders28,NA,"When I'm upset, I believe that there is nothing I can do to make myself feel better.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders29,NA,"When I'm upset, I become irritated with myself for feeling that way.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders30,NA,"When I'm upset, I start to feel very bad about myself.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders31,NA,"When I'm upset, I believe that wallowing in it is all I can do.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders32,NA,"When I'm upset, I lose control over my behaviors.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders33,NA,"When I'm upset, I have difficulty thinking about anything else.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders_34_rs,NA,"When I'm upset, I take time to figure out what I'm really feeling.",raw,0,"4 = Almost never, 3 = Sometimes, 2 = About half the time, 1 = Most of the time, 0 = Always",NA,NA,NA,NA,NA
ders35,NA,"When I'm upset, it takes me a long time to feel better.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
ders36,NA,"When I'm upset, my emotions feel overwhelming.",raw,0,"0 = Almost never, 1 = Sometimes, 2 = About half the time, 3 = Most of the time, 4 = Always",NA,NA,NA,NA,NA
"ders_1_rs,ders_2_rs,ders3,ders4,ders_6_rs,ders5,ders_7_rs,ders_8_rs,ders9,ders_10_rs,ders11,ders12,ders13,ders14,ders15,ders16,ders_17_rs,ders18,ders19,ders_20_rs,ders21,ders_22_rs,ders23,ders_24_rs,ders25,ders26,ders27,ders28,ders29,ders30,ders31,ders32,ders33,ders_34_rs,ders35,ders36",NA,NA,select,1,NA,NA,NA,NA,NA,NA
"ders_1_rs,ders_2_rs,ders3,ders4,ders_6_rs,ders5,ders_7_rs,ders_8_rs,ders9,ders_10_rs,ders11,ders12,ders13,ders14,ders15,ders16,ders_17_rs,ders18,ders19,ders_20_rs,ders21,ders_22_rs,ders23,ders_24_rs,ders25,ders26,ders27,ders28,ders29,ders30,ders31,ders32,ders33,ders_34_rs,ders35,ders36,ders_1_rs,ders_2_rs,ders3,ders4,ders_6_rs,ders5,ders_7_rs,ders_8_rs,ders9,ders_10_rs,ders11,ders12,ders13,ders14,ders15,ders16,ders_17_rs,ders18,ders19,ders_20_rs,ders21,ders_22_rs,ders23,ders_24_rs,ders25,ders26,ders27,ders28,ders29,ders30,ders31,ders32,ders33,ders_34_rs,ders35,ders36",ders_sum,Sum of DERS,sum,3,NA,NA,NA,NA,NA,NA
"ders_1_rs,ders_2_rs,ders3,ders4,ders_6_rs,ders5,ders_7_rs,ders_8_rs,ders9,ders_10_rs,ders11,ders12,ders13,ders14,ders15,ders16,ders_17_rs,ders18,ders19,ders_20_rs,ders21,ders_22_rs,ders23,ders_24_rs,ders25,ders26,ders27,ders28,ders29,ders30,ders31,ders32,ders33,ders_34_rs,ders35,ders36,ders_1_rs,ders_2_rs,ders3,ders4,ders_6_rs,ders5,ders_7_rs,ders_8_rs,ders9,ders_10_rs,ders11,ders12,ders13,ders14,ders15,ders16,ders_17_rs,ders18,ders19,ders_20_rs,ders21,ders_22_rs,ders23,ders_24_rs,ders25,ders26,ders27,ders28,ders29,ders30,ders31,ders32,ders33,ders_34_rs,ders35,ders36,ders_1_rs,ders_2_rs,ders3,ders4,ders_6_rs,ders5,ders_7_rs,ders_8_rs,ders9,ders_10_rs,ders11,ders12,ders13,ders14,ders15,ders16,ders_17_rs,ders18,ders19,ders_20_rs,ders21,ders_22_rs,ders23,ders_24_rs,ders25,ders26,ders27,ders28,ders29,ders30,ders31,ders32,ders33,ders_34_rs,ders35,ders36,ders_1_rs,ders_2_rs,ders3,ders4,ders_6_rs,ders5,ders_7_rs,ders_8_rs,ders9,ders_10_rs,ders11,ders12,ders13,ders14,ders15,ders16,ders_17_rs,ders18,ders19,ders_20_rs,ders21,ders_22_rs,ders23,ders_24_rs,ders25,ders26,ders27,ders28,ders29,ders30,ders31,ders32,ders33,ders_34_rs,ders35,ders36",NA,NA,select,4,NA,NA,NA,NA,NA,NA
