raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code,
stai_calm,NA,I feel calm.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_secure,NA,I feel secure.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_tense,NA,I am tense.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_strained,NA,I feel strained.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_at_ease,NA,I feel at ease.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_upset,NA,I feel upset.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_misfortune,NA,I am presently worrying over possible misfortunes.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_satisfied,NA,I feel satisfied.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_frightened,NA,I feel frightened.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_comfortable,NA,I feel comfortable.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_self_confident,NA,I feel self confident.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_nervous,NA,I feel nervous.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_jittery,NA,I am jittery.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_indecisive,NA,I feel indecisive.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_relaxed,NA,I am relaxed.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_content,NA,I feel content.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
